BuildingType,Floor Stock,Heat,Cool,Vent.,Refrig.,WH,Cook,Int.Ltg.,Ext.Ltg.,OfficeEquip,Misc.,AirComp.,Motors,Proc.,Total
All Commercial,"1,969,884",13.39,5.66,5.5,6.55,8.83,7.7,12.76,2.32,3.61,2.86,0.11,1.7,1.87,72.85
Small Office (<30k ft2),"125,802",17.52,8.44,4.87,1.68,1.96,0.19,12.98,2.47,9.77,3.37,0.02,0.42,0.39,64.08
Large Office (>=30k ft2),"300,528",22.26,10.59,10.15,1.18,2.95,0.56,14.45,1.1,12.68,1.73,0,2.46,1.05,81.16
Restaurant,"65,534",7.69,12.04,7.03,31.05,41.3,167.48,19.48,4.96,1.81,2.59,0.04,0.72,0.36,296.56
Retail,"275,427",5.82,5.37,5.54,3.3,1.4,0.96,18.18,2.11,1.69,3.27,0.09,0.92,0.25,48.92
Food Store,"55,797",14.6,7.44,8.21,78.47,10.87,17.03,27.63,2.95,1.24,3.73,0,0.35,0.19,172.72
Refrigerated Warehouse,"60,854",0.89,0.78,0.84,42.59,0.74,2.08,8.5,1.22,0.61,1.72,0.23,5.37,2.11,67.7
Unrefrigerated Warehouse,"156,643",4.11,0.87,0.62,0.96,0.85,0.07,8.53,1.35,0.82,1.43,0.02,1.52,0.33,21.48
School,"193,432",15.27,3.15,3.15,1.65,5.47,2.08,9.31,2.5,1.24,0.88,0.01,0.32,0.02,45.08
College,"80,661",28.8,4.77,9.86,1.71,9.46,2.38,12.94,2.64,1.69,2.1,0,1.38,0.31,78.04
Health,"79,803",40,12.72,13.98,2.39,38.54,4.71,15.53,1.69,2.65,8.08,0,3.26,11.2,154.76
Lodging,"113,929",6.26,5.37,5.17,2.61,27.46,6.54,9.78,1.9,0.41,4.27,0,1.36,0.35,71.47
Miscellaneous,"461,474",10.16,3.07,3.18,2.87,9.44,2.02,9.27,3.29,1.33,3.49,0.37,2.32,4.48,55.29
All Offices,"426,330",20.84,9.95,8.59,1.33,2.66,0.45,14.02,1.5,11.82,2.21,0.01,1.86,0.86,76.1
All Warehouses,"217,497",3.21,0.85,0.68,12.61,0.82,0.63,8.52,1.32,0.76,1.51,0.08,2.6,0.83,34.42
