Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"133,675",56,73.4,158.5,77.1,162.4,668.9
"180,450",79,63.6,129.5,63.6,129.5,763.1
"121,408",,73.8,173.3,73.8,173.3,634.3
"198,525",,27.5,76.9,27.5,76.9,419.6
"17,311",,285.3,579.9,282.5,571.3,328.3
"46,962",38,64.1,177,65.8,178.8,229.9
"121,481",,119,305.5,116.2,296.9,1066.1
"118,196",66,83.2,189.1,81.5,183.8,685.8
"97,614",92,50.4,116,50.4,116,345.1
"59,530",,33.4,56.8,37.5,61.1,92.1
"60,000",71,92.3,205.2,94.4,204.7,382.4
"126,250",70,64.8,147.3,64.8,147.3,570.5
"164,650",39,59.7,136.7,60,134.4,556.2
"21,630",,104.9,203.4,112.7,211.6,148
"154,400",74,82.6,175.5,84.5,181.5,863.9
"14,198",,63.8,117.9,74.1,128.8,57.9
"32,776",,28.2,70.4,30.7,73,67.3
"10,450",88,31.7,59.1,39.2,68.7,21.3
"204,392",68,61.8,143.4,61.8,143.4,889
"166,777",86,56.1,134.4,56.1,134.4,542.8
"121,605",85,78.2,151.1,77.7,149.6,499.9
"111,082",,45.8,139.6,45.8,139.6,277.2
"14,400",,8.7,26.7,8.7,26.7,10.1
"13,923",92,22.5,61.4,23.7,62.8,23.8
"15,596",85,35.8,90.2,37.8,92.3,40.8
"16,200",19,97.9,193.3,99,196.7,104.2
"252,253",87,68.7,164.6,68.7,164.6,718.7
"17,786",,143.4,257.8,143.4,257.8,161.4
"36,642",99,19.6,51.2,19.6,51.2,53.4
"42,989",96,26,80.3,26,80.3,90.3
"46,118",96,33.9,87.7,37,91.1,109.1
"10,440",,94.8,185,116.3,207.6,64.7
"120,983",,123,210,127.7,214.9,923.6
"80,383",85,49,114.6,50.1,114.2,278.3
"145,800",77,69.7,203.3,69.9,203.9,797.9
"38,440",66,49,153.9,49,153.9,153.6
"66,700",85,83.3,198,83.3,198,395.3
"14,384",88,54.8,87.5,60.7,93.8,47.7
"16,228",87,36.2,113.5,37,116.1,33.1
"23,836",,55.1,172.9,57.8,181.4,7.4
"44,050",51,64.5,160.4,65.2,159.3,206.4
"409,000",90,54.8,146.5,55.5,145.5,1470.1
"215,400",66,97.2,221.4,99.3,221.2,1462
"39,992",15,85.9,264.6,86.6,265.4,190.7
"104,344",88,52.7,140.7,54.7,142.8,413.1
"35,649",84,53.7,107.8,53.1,105.9,126.7
"43,000",,84.7,207.5,88.2,211.2,262.7
"205,964",,48.7,117.2,49.7,118.2,718.1
"29,189",83,42.7,116.4,44.9,116.3,78.4
"18,407",90,32.4,92.4,33.2,92,46.3
"45,000",,108.8,283.3,108.9,280.3,363.4
